set_name,visible_name,language,asset_key,relative_folder,expected_logo,expected_symbol,has_imported_cards,set_release_date,card_count,logo_source_url,symbol_source_url,notes,approved,logo_content_hash,symbol_content_hash
Japanese Gaia Volcano,Gaia Volcano,jp,gaia-volcano,inbox/gaia-volcano,logo,symbol,true,2015-01-01,160,,,,false,,
Japanese Glory of Team Rocket,Glory of Team Rocket,jp,glory-of-team-rocket,inbox/glory-of-team-rocket,logo,symbol,true,2025-01-01,132,,,,false,,
Japanese Go,Go,jp,go,inbox/go,logo,symbol,true,2022-01-01,96,,,,false,,
"Japanese Gold, Silver, New World","Gold, Silver, New World",jp,gold-silver-new-world,inbox/gold-silver-new-world,logo,symbol,true,1999-01-01,81,,,,false,,
"Japanese Golden Sky, Silvery Ocean","Golden Sky, Silvery Ocean",jp,golden-sky-silvery-ocean,inbox/golden-sky-silvery-ocean,logo,symbol,true,2003-01-01,211,,,,false,,
Japanese GX Battle Boost,GX Battle Boost,jp,gx-battle-boost,inbox/gx-battle-boost,logo,symbol,true,2017-01-01,126,,,,false,,
Japanese GX Ultra Shiny,GX Ultra Shiny,jp,gx-ultra-shiny,inbox/gx-ultra-shiny,logo,symbol,true,2018-01-01,283,,,,false,,
Japanese Heat Wave Arena,Heat Wave Arena,jp,heat-wave-arena,inbox/heat-wave-arena,logo,symbol,true,2024-01-01,92,,,,false,,
Japanese Holon Phantom,Holon Phantom,jp,holon-phantom,inbox/holon-phantom,logo,symbol,true,2006-01-01,105,,,,false,,
Japanese Holon Research,Holon Research,jp,holon-research,inbox/holon-research,logo,symbol,true,2005-01-01,181,,,,false,,
Japanese Incandescent Arcana,Incandescent Arcana,jp,incandescent-arcana,inbox/incandescent-arcana,logo,symbol,true,2022-01-01,155,,,,false,,
Japanese Inferno X,Inferno X,jp,inferno-x,inbox/inferno-x,logo,symbol,true,2025-01-01,116,,,,false,,
Japanese Intense Fight in the Destroyed Sky,Intense Fight in the Destroyed Sky,jp,intense-fight-in-the-destroyed-sky,inbox/intense-fight-in-the-destroyed-sky,logo,symbol,true,2009-01-01,178,,,,false,,
Japanese Jungle,Jungle,jp,jungle,inbox/jungle,logo,symbol,true,1997-01-01,47,,,,false,,
Japanese Leaders' Stadium,Leaders' Stadium,jp,leaders-stadium,inbox/leaders-stadium,logo,symbol,true,2000-01-01,96,,,,false,,
Japanese Lost Abyss,Lost Abyss,jp,lost-abyss,inbox/lost-abyss,logo,symbol,true,2022-01-01,127,,,,false,,
Japanese Magma VS Aqua Two Ambitions,Magma VS Aqua Two Ambitions,jp,magma-vs-aqua-two-ambitions,inbox/magma-vs-aqua-two-ambitions,logo,symbol,true,2003-01-01,160,,,,false,,
Japanese Mask of Change,Mask of Change,jp,mask-of-change,inbox/mask-of-change,logo,symbol,true,2024-01-01,133,,,,false,,
Japanese Mega Brave,Mega Brave,jp,mega-brave,inbox/mega-brave,logo,symbol,true,2024-01-01,92,,,,false,,
Japanese Mega Dream ex,Mega Dream ex,jp,mega-dream-ex,inbox/mega-dream-ex,logo,symbol,true,2024-01-01,487,,,,false,,
Japanese Mega Symphonia,Mega Symphonia,jp,mega-symphonia,inbox/mega-symphonia,logo,symbol,true,2024-01-01,92,,,,false,,
Japanese Megalo Cannon,Megalo Cannon,jp,megalo-cannon,inbox/megalo-cannon,logo,symbol,true,2013-01-01,172,,,,false,,
Japanese Meiji Promo,Meiji Promo,jp,meiji-promo,inbox/meiji-promo,logo,symbol,true,2000-01-01,69,,,,false,,
Japanese Miracle Crystal,Miracle Crystal,jp,miracle-crystal,inbox/miracle-crystal,logo,symbol,true,2003-01-01,150,,,,false,,
Japanese Miracle Twins,Miracle Twins,jp,miracle-twins,inbox/miracle-twins,logo,symbol,true,2019-01-01,115,,,,false,,
Japanese Mysterious Mountains,Mysterious Mountains,jp,mysterious-mountains,inbox/mysterious-mountains,logo,symbol,true,2025-01-01,183,,,,false,,
Japanese Mystery of the Fossils,Mystery of the Fossils,jp,mystery-of-the-fossils,inbox/mystery-of-the-fossils,logo,symbol,true,1997-01-01,44,,,,false,,
Japanese Neo Premium File,Neo Premium File,jp,neo-premium-file,inbox/neo-premium-file,logo,symbol,true,2000-01-01,27,,,,false,,
Japanese Night Wanderer,Night Wanderer,jp,night-wanderer,inbox/night-wanderer,logo,symbol,true,2024-01-01,95,,,,false,,
Japanese Nihil Zero,Nihil Zero,jp,nihil-zero,inbox/nihil-zero,logo,symbol,true,2025-01-01,117,,,,false,,
Japanese Ninja Spinner,Ninja Spinner,jp,ninja-spinner,inbox/ninja-spinner,logo,symbol,true,2003-01-01,120,,,,false,,
Japanese Offense and Defense of the Furthest Ends,Offense and Defense of the Furthest Ends,jp,offense-and-defense-of-the-furthest-ends,inbox/offense-and-defense-of-the-furthest-ends,logo,symbol,true,2025-01-01,136,,,,false,,
Japanese Old Maid,Old Maid,jp,old-maid,inbox/old-maid,logo,symbol,false,,0,,,,false,,
Japanese Paradigm Trigger,Paradigm Trigger,jp,paradigm-trigger,inbox/paradigm-trigger,logo,symbol,true,2022-01-01,126,,,,false,,
Japanese Paradise Dragona,Paradise Dragona,jp,paradise-dragona,inbox/paradise-dragona,logo,symbol,true,2023-01-01,94,,,,false,,
Japanese Phantom Gate,Phantom Gate,jp,phantom-gate,inbox/phantom-gate,logo,symbol,true,2014-01-01,194,,,,false,,
Japanese Plasma Gale,Plasma Gale,jp,plasma-gale,inbox/plasma-gale,logo,symbol,true,2013-01-01,158,,,,false,,
Japanese PokeKyun Collection,PokeKyun Collection,jp,pokekyun-collection,inbox/pokekyun-collection,logo,symbol,true,2014-01-01,32,,,,false,,
Japanese Promo,Promo,jp,promo,inbox/promo,logo,symbol,true,2000-01-01,100,,,,false,,
Japanese Raging Surf,Raging Surf,jp,raging-surf,inbox/raging-surf,logo,symbol,true,2023-01-01,92,,,,false,,
Japanese Red Flash,Red Flash,jp,red-flash,inbox/red-flash,logo,symbol,true,2000-01-01,129,,,,false,,
Japanese Remix Bout,Remix Bout,jp,remix-bout,inbox/remix-bout,logo,symbol,true,2019-01-01,80,,,,false,,
Japanese Reviving Legends,Reviving Legends,jp,reviving-legends,inbox/reviving-legends,logo,symbol,true,2000-01-01,187,,,,false,,
Japanese Rising Fist,Rising Fist,jp,rising-fist,inbox/rising-fist,logo,symbol,true,2014-01-01,210,,,,false,,
Japanese Rocket Gang,Rocket Gang,jp,rocket-gang,inbox/rocket-gang,logo,symbol,true,1997-01-01,53,,,,false,,
Japanese Rocket Gang Strikes Back,Rocket Gang Strikes Back,jp,rocket-gang-strikes-back,inbox/rocket-gang-strikes-back,logo,symbol,true,2004-01-01,167,,,,false,,
Japanese Ruler of the Black Flame,Ruler of the Black Flame,jp,ruler-of-the-black-flame,inbox/ruler-of-the-black-flame,logo,symbol,true,2023-01-01,141,,,,false,,
Japanese Rulers of the Heavens,Rulers of the Heavens,jp,rulers-of-the-heavens,inbox/rulers-of-the-heavens,logo,symbol,true,2002-01-01,108,,,,false,,
Japanese Scarlet & Violet 151,Scarlet & Violet 151,jp,scarlet-and-violet-151,inbox/scarlet-and-violet-151,logo,symbol,true,2023-01-01,516,,,,false,,
Japanese Scarlet Ex,Scarlet Ex,jp,scarlet-ex,inbox/scarlet-ex,logo,symbol,true,2023-01-01,108,,,,false,,
Japanese Secret of the Lakes,Secret of the Lakes,jp,secret-of-the-lakes,inbox/secret-of-the-lakes,logo,symbol,true,2007-01-01,2,,,,false,,
Japanese Shining Darkness,Shining Darkness,jp,shining-darkness,inbox/shining-darkness,logo,symbol,true,2007-01-01,8,,,,false,,
Japanese Shining Legends,Shining Legends,jp,shining-legends,inbox/shining-legends,logo,symbol,true,2017-01-01,82,,,,false,,
Japanese Shiny Star V,Shiny Star V,jp,shiny-star-v,inbox/shiny-star-v,logo,symbol,true,2020-01-01,335,,,,false,,
Japanese Shiny Treasure ex,Shiny Treasure ex,jp,shiny-treasure-ex,inbox/shiny-treasure-ex,logo,symbol,true,2023-01-01,484,,,,false,,
Japanese Snow Hazard,Snow Hazard,jp,snow-hazard,inbox/snow-hazard,logo,symbol,true,2023-01-01,99,,,,false,,
Japanese Space-Time,Space-Time,jp,space-time,inbox/space-time,logo,symbol,true,2022-01-01,3,,,,false,,
Japanese Split Earth,Split Earth,jp,split-earth,inbox/split-earth,logo,symbol,true,2000-01-01,182,,,,false,,
Japanese Star Birth,Star Birth,jp,star-birth,inbox/star-birth,logo,symbol,true,2022-01-01,127,,,,false,,
Japanese Start Deck 100,Start Deck 100,jp,start-deck-100,inbox/start-deck-100,logo,symbol,true,2022-01-01,422,,,,false,,
Japanese Start Deck 100 Battle Collection,Start Deck 100 Battle Collection,jp,start-deck-100-battle-collection,inbox/start-deck-100-battle-collection,logo,symbol,true,2024-01-01,1532,,,,false,,
Japanese Stellar Miracle,Stellar Miracle,jp,stellar-miracle,inbox/stellar-miracle,logo,symbol,true,2024-01-01,135,,,,false,,
Japanese Super-Burst Impact,Super-Burst Impact,jp,super-burst-impact,inbox/super-burst-impact,logo,symbol,true,2018-01-01,111,,,,false,,
Japanese Super Electric Breaker,Super Electric Breaker,jp,super-electric-breaker,inbox/super-electric-breaker,logo,symbol,true,2024-01-01,139,,,,false,,
Japanese Tag All Stars,Tag All Stars,jp,tag-all-stars,inbox/tag-all-stars,logo,symbol,true,2019-01-01,359,,,,false,,
Japanese Tag Bolt,Tag Bolt,jp,tag-bolt,inbox/tag-bolt,logo,symbol,true,2018-01-01,118,,,,false,,
Japanese Temple of Anger,Temple of Anger,jp,temple-of-anger,inbox/temple-of-anger,logo,symbol,true,2008-01-01,7,,,,false,,
Japanese Terastal Festival,Terastal Festival,jp,terastal-festival,inbox/terastal-festival,logo,symbol,true,2024-01-01,483,,,,false,,
Japanese The Town on No Map,The Town on No Map,jp,the-town-on-no-map,inbox/the-town-on-no-map,logo,symbol,true,2002-01-01,182,,,,false,,
Japanese Topsun,Topsun,jp,topsun,inbox/topsun,logo,symbol,true,1997-01-01,361,,,,false,,
Japanese Triplet Beat,Triplet Beat,jp,triplet-beat,inbox/triplet-beat,logo,symbol,true,2023-01-01,103,,,,false,,
Japanese Undone Seal,Undone Seal,jp,undone-seal,inbox/undone-seal,logo,symbol,true,2025-01-01,163,,,,false,,
Japanese Vending,Vending,jp,vending,inbox/vending,logo,symbol,true,1998-04-01,124,,,,false,,
Japanese Violet Ex,Violet Ex,jp,violet-ex,inbox/violet-ex,logo,symbol,true,2023-01-20,108,,,,false,,
Japanese VMAX Climax,VMAX Climax,jp,vmax-climax,inbox/vmax-climax,logo,symbol,true,2021-01-01,330,,,,false,,
Japanese VS,VS,jp,vs,inbox/vs,logo,symbol,true,2001-01-01,161,,,,false,,
Japanese VSTAR Universe,VSTAR Universe,jp,vstar-universe,inbox/vstar-universe,logo,symbol,true,2022-12-02,351,,,,false,,
Japanese Web,Web,jp,web,inbox/web,logo,symbol,true,2001-11-01,95,,,,false,,
Japanese White Flare,White Flare,jp,white-flare,inbox/white-flare,logo,symbol,true,2025-06-06,326,,,,false,,
Japanese Wild Blaze,Wild Blaze,jp,wild-blaze,inbox/wild-blaze,logo,symbol,true,2014-03-15,179,,,,false,,
Japanese Wild Force,Wild Force,jp,wild-force,inbox/wild-force,logo,symbol,true,2024-01-26,100,,,,false,,
Japanese Wind from the Sea,Wind from the Sea,jp,wind-from-the-sea,inbox/wind-from-the-sea,logo,symbol,true,2002-04-01,180,,,,false,,
Japanese World Champions Pack,World Champions Pack,jp,world-champions-pack,inbox/world-champions-pack,logo,symbol,true,2007-07-05,213,,,,false,,
